Qu_1_a,Qu_1_b,Qu_1_c,Qu_1_d,Qu_2_a,Qu_2_b,Qu_2_c,Qu_2_d,Qu_3_a,Qu_3_b,Qu_3_c,Qu_3_d,Qu_4_a,Qu_4_b,Qu_4_c,Qu_4_d,Qu_5,Qu_6,Qu_7,Qu_8,Qu_9,Qu_10,Qu_11,Qu_12,Qu_13,Qu_14_a,Qu_14_b,Qu_15_a,Qu_15_b,Qu_15_c,Qu_15_d
4,4,4,4,5,5,5,5,6,4,6,4,5,2,5,5,Mexico,Mexico,Male,26,Student,College/University Degree,Medium,Medium,No,3,1,6,2,1,1
2,3,3,2,3,2,2,3,3,2,2,3,3,5,3,4,Hong Kong,Hong Kong,Male,23,Student,College/University Degree,Medium,Medium,No,6,6,2,4,3,1
7,1,1,1,2,1,6,3,2,1,5,3,2,1,2,2,Canada,Lebanon,Male,32,Analyst,MasterÕs Degree,High,High,Yes,2,1,1,1,1,1
2,1,1,2,3,2,7,3,1,1,6,2,2,1,3,1,United Kingdom,United Kingdom,Female,52,Writer,College/University Degree,Medium,High,Yes,6,1,1,3,1,1
3,3,3,3,5,3,5,5,4,3,4,4,2,2,2,2,United States,United States,Male,23,Student,Master's Degree,Medium,Medium,No,6,7,1,1,1,1
2,2,1,3,2,5,6,6,3,6,2,4,3,6,2,3,Italy,Italy,Male,24,Student,Master Degree,Low,Medium,No,7,7,1,3,2,2
4,3,3,5,4,5,4,4,3,5,5,5,2,3,4,4,China,China,Male,25,Engineer,University,Medium,Medium,No,7,7,2,5,2,6
3,2,2,1,2,2,4,2,2,3,3,2,1,2,3,2,Malaysia,Malaysia,Female,28,Housewife,University Degree,Low,Low,Yes,2,1,2,1,1,1
3,2,2,1,2,3,1,2,2,2,2,2,3,2,3,2,China,China,Female,26,Student,College/University Degree,High,High,No,6,7,3,2,2,2
2,6,5,2,2,3,1,2,6,6,4,1,3,3,2,1,United Kingdom,United Kingdom,Female,18,Student,Master's Degree,Medium,Medium,No,6,6,1,1,3,1
2,2,2,2,1,2,7,4,1,3,4,3,3,2,3,3,Vietnam,Vietnam,Male,26,Software Engineer,College/University Degree,Medium,Medium,No,7,7,1,1,1,5
2,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,China,China,Male,21,Student,College/University Degree,Very Low,Medium,No,7,7,4,4,4,4
2,2,1,2,3,3,7,3,2,2,3,2,5,2,5,2,Germany,Germany,Female,27,Charity Director,College/University Degree,Medium,Medium,Yes,4,3,1,1,1,1
4,2,2,2,2,3,7,5,2,2,6,6,2,6,2,3,Zimbabwe,Zimbabwe,Female,20,Student,High School/Secondary School&amp,Medium,High,Yes,2,1,5,5,1,6
2,1,3,3,6,5,4,5,6,4,5,4,3,2,4,5,China,China,Female,40,Teacher,Doctoral Degree,High,High,No,1,1,5,1,1,1
3,4,5,5,5,3,4,5,4,5,6,6,6,5,4,5,India,India,Male,26,Business,College/University Degree&amp;am,Medium,Medium,Yes,4,3,4,4,5,6
4,2,2,4,1,2,5,3,1,1,4,3,2,1,5,1,Greece,Greece,Female,24,Software Developer,MasterÕs Degree,Medium,Medium,No,7,7,5,6,2,3
1,1,1,1,1,1,4,5,1,1,3,3,2,3,3,2,Greece,Greece,Female,27,Student,College/University Degree,Medium,High,Yes,3,2,1,3,1,1
2,3,2,2,6,3,6,6,3,2,5,4,3,5,4,4,United Kingdom,United Kingdom,Male,23,Student,MasterÕs Degree,Medium,Medium,Yes,1,1,3,2,2,1
5,2,2,2,3,3,6,3,2,3,6,3,3,5,6,3,Canada,Canada,Male,37,Marketing,College/University Degree,Medium,Medium,No,7,7,1,1,1,1
1,1,1,1,3,3,4,6,4,4,4,4,4,4,4,4,China,China,0,20,Student,2,1,3,No,6,4,4,1,1,1
3,1,1,2,3,5,6,2,2,1,3,5,3,7,7,5,Philippines,Philippines,Male,43,Sales Supervisor,College/University Degree,Medium,Medium,Yes,4,1,1,1,1,1
2,2,2,2,3,2,7,3,2,3,4,2,1,1,2,2,United Kingdom,United Kingdom,Male,21,Student,College Degree,Very Low,High,No,7,7,1,2,1,2
2,2,2,2,1,2,2,1,1,3,3,2,3,2,2,2,Taiwan,Taiwan,Female,37,Teacher,4,3,3,1,1,1,2,2,2,2
3,3,2,3,3,4,5,3,2,3,5,4,3,2,4,3,China,China,Female,26,Saleswoman,University,Medium,Medium,No,7,7,1,3,1,2
6,6,2,1,5,3,7,3,2,3,7,3,3,3,5,3,Ghana,Ghana,Female,28,Insurance,College/University Degree,Low,Medium,Yes,2,1,1,2,1,1
5,2,2,2,4,3,7,5,3,4,6,4,4,4,4,4,South Africa,South Africa,Male,18,Studying,High School/Secondary School&amp,High,High,Yes,1,1,1,1,1,1
3,4,5,5,3,3,4,4,4,3,3,3,3,4,5,6,China,China,Female,22,Student,MasterÕs Degree,Medium,High,Yes,3,2,1,1,1,1
6,6,2,1,5,3,7,3,2,3,7,3,3,3,5,3,Ghana,Ghana,Female,28,Insurance,College/University Degree,Low,Medium,Yes,2,1,1,2,1,1
2,2,2,1,1,3,6,3,1,2,6,4,1,1,1,3,Turkey,Turkey,Male,24,Student,College/University Degree,Medium,Medium,Yes,1,1,3,2,2,1
2,2,2,2,3,3,7,4,2,2,2,2,3,3,3,3,China,China,Female,25,The Writer,College/University Degree,Medium,Medium,No,7,7,4,1,1,1
3,2,1,1,5,5,7,3,3,3,7,2,6,7,6,3,Switzerland,Switzerland,Male,27,Cash Management,MasterÕs Degree,Medium,Medium,No,7,7,1,2,1,1
2,2,3,1,3,3,5,3,2,2,3,3,2,2,2,3,Taiwan,Taiwan,Female,29,Sales,4,3,3,0,4,6,1,1,1,1
3,3,1,2,2,3,3,7,2,3,7,2,3,3,1,2,Ghana,Ghana,Female,31,Student,College/University Degree,Low,Low,Yes,1,1,1,1,1,1
3,3,2,2,4,3,7,6,3,3,6,3,4,2,5,5,United Kingdom,Ireland,Male,73,University Lecturer,MasterÕs Degree,Medium,Medium,No,7,7,1,1,1,1
2,2,2,4,6,3,7,2,2,3,4,3,1,1,2,2,Brazil,Brazil,Female,23,Student,Some College Ê,Very Low Ê,Very Low,Yes,1,1,4,3,1,1
5,1,1,1,3,3,7,3,2,2,1,2,3,2,1,7,Brazil,Brazil,Male,20,Student,High School/Secondary School,Very Low,Medium,Yes,1,1,7,7,7,4
2,2,2,2,7,7,7,7,3,3,3,3,3,3,2,3,United Kingdom,United Kingdom,Male,19,Student,High School/Secondary School,Low,Low,No,7,7,1,3,2,2
4,2,2,2,2,2,5,3,2,2,5,3,2,2,5,2,Vietnam,Vietnam,Male,24,Student,College/University Degree,High,High,No,7,6,3,3,5,2
4,3,4,4,3,3,3,2,3,3,3,4,3,4,5,2,China,China,Male,25,Ad,3,3,2,No,4,4,1,2,1,2
3,3,1,3,1,3,7,3,1,3,7,3,1,1,1,1,Mexico,Mexico,Male,22,Student,Some College,Medium,High,No,5,7,2,5,2,2
2,2,2,2,4,2,6,4,2,2,6,3,4,2,2,4,China,China,Female,22,Student,College/University Degree,Medium,Medium,No,7,7,1,1,1,1
3,1,1,1,3,7,7,3,2,2,4,4,1,1,2,3,Brazil,Brazil,Male,31,Manager,College/University DegreeÊ,High,High,Yes,6,6,1,1,1,1
6,2,1,1,7,6,7,7,2,2,1,2,2,3,2,4,South Africa,South Africa,Female,22,Not Employed,High School/Secondary School&amp,Low,Medium,Yes,1,1,1,2,1,1
3,4,2,2,6,5,7,6,4,4,7,5,4,3,2,3,United Kingdom,United Kingdom,Female,25,Student,College/University Degree,Very Low,Low,No,7,7,1,2,2,1
2,2,2,1,4,6,7,4,1,2,1,1,4,3,2,2,South Africa,South Africa,Female,19,None,High School/Secondary School&amp,Low,Low,Yes,2,1,7,7,7,6
7,1,1,1,1,6,1,1,3,6,7,4,7,1,1,1,China,China,Male,27,It,College/University Degree,Low,Low,No,7,7,1,1,1,1
5,4,3,3,5,4,5,5,3,4,5,4,2,2,4,4,China,China,Male,27,Teacher,University,Medium,Medium,No,7,7,2,4,1,4
2,2,3,2,3,3,5,5,3,2,4,3,2,2,1,2,"Taiwan, Province Of China","Taiwan, Province Of China",Male,27,Phd Student,College/University Degree,Low,Medium,No,7,7,3,3,1,2
5,4,2,5,5,4,4,5,5,5,4,5,5,2,2,1,India,India,Female,20,Part-Time Job,Some College&amp;amp;nbsp;&amp;a,Medium,Medium,Yes,2,1,4,4,1,1
3,2,1,5,2,2,7,4,2,1,4,4,1,1,1,2,Brazil,Brazil,Female,19,Student,Some College,High,High,Yes,6,1,2,7,7,7
2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,Thailand,Thailand,Female,25,Student,Master&#039;s Degree,Medium,High,Yes,3,3,4,4,4,4
1,2,3,3,2,3,2,1,3,3,4,3,1,3,2,1,Japan,Japan,Female,26,Student,College/University Degree,Medium,Medium,No,6,5,2,3,3,1
1,2,1,2,2,3,4,3,1,2,4,3,2,2,4,4,United Kingdom,United Kingdom,Female,25,Student,4,3,3,Yes,4,4,1,2,1,1
2,2,3,4,2,3,4,4,1,2,3,3,2,2,5,3,China,China,Female,22,Student,College/University Degree,Very Low,Medium,No,7,7,1,1,2,2
3,2,2,2,5,4,2,2,2,2,2,2,2,2,2,2,India,India,Male,24,Employee,Master&amp;amp;rsquo;s Degree,Medium,High,Yes,,,3,2,2,2
1,1,1,1,2,2,5,3,2,2,3,3,1,1,2,3,South Africa,South Africa,Female,38,Business Analyst,College/University Degree&amp;nb,High,High,Yes,3,1,1,1,1,1
1,2,3,3,3,1,3,3,3,3,6,6,2,1,2,3,China,China,Male,24,Student,College/University Degree,High,High,No,5,6,3,1,2,1
7,1,1,1,2,2,5,2,7,1,2,2,1,2,2,1,United Kingdom,United Kingdom,Female,31,Health Visitor,MasterÕs Degree,Medium,Medium,Yes,5,4,1,5,1,1
2,2,1,1,2,2,7,3,1,1,4,3,2,2,2,2,Brazil,Brazil,Female,32,Psychologists,College/University DegreeÊ,Medium,High,Yes,3,2,1,2,1,1
2,3,2,3,3,2,6,3,3,2,5,3,3,2,3,3,China,China,Male,23,Student,MasterÕs Degree,Low,Medium,No,6,7,2,3,1,2
3,4,2,2,3,3,7,3,2,2,4,3,3,2,4,2,United Kingdom,United Kingdom,Male,25,Kitchen Assistant,MasterÕs Degree,Very Low,Low,No,7,7,2,3,2,2
5,,,,3,,,,3,5,5,3,3,5,3,3,Brazil,Brazil,Male,23,Businessman,Some College,Medium,Medium,No,6,1,4,3,3,3
2,3,2,2,2,1,4,2,1,1,2,2,1,2,3,2,China,China,Female,29,Company Executives,College/University Degree,Medium,Medium,No,7,7,6,1,1,1
6,5,6,3,6,5,7,6,6,4,3,5,5,3,6,5,United Kingdom,United Kingdom,Male,26,Student,Master Degree,Medium,Medium,Yes,5,5,6,1,2,2
2,1,2,1,3,3,5,3,2,3,2,3,2,3,7,3,South Africa,South Africa,Male,19,School,High School/Secondary School&amp,Medium,Low,Yes,2,1,1,3,4,3
5,4,1,2,3,2,5,3,2,2,3,3,3,3,2,1,England,England,Female,20,College Student,High School/Secondary School,Low,Low,No,7,7,5,5,3,3
4,2,2,2,3,2,2,2,3,2,2,2,3,4,2,2,India,India,Female,49,House Wife,Master&amp;amp;rsquo;s Degree,Medium,Medium,Yes,5,1,5,1,6,6
2,2,3,2,2,3,2,3,2,3,3,3,2,3,3,2,Korea,Korea,Male,24,Student,College/University Degree,Medium,Medium,No,2,2,2,1,1,1
2,2,1,1,1,1,1,1,2,1,1,1,2,4,2,2,Bolivia,Bolivia,Female,30,Student,MasterÕs Degree,Low,Medium,No,7,7,3,2,3,2
3,2,2,1,2,3,6,3,1,2,2,5,2,5,6,4,China,China,Male,28,Office Director,MasterÕs Degree,Medium,Medium,No,7,5,2,2,1,1
6,2,2,6,1,2,6,4,1,2,2,7,5,1,1,1,South Africa,South Africa,Female,23,Marketing Co-Ordinator,College/University Degree&amp;nb,Medium,Medium,Yes,6,1,4,3,1,1
2,1,1,1,3,2,7,5,2,2,7,3,3,3,2,2,South Africa,Namibia,Female,39,Project Manager,Master&amp;rsquo;s Degree,High,Very High,Yes,3,1,1,2,2,1
1,1,1,1,5,2,7,3,4,2,7,4,3,2,6,7,United Kingdom,United Kingdom,Male,19,Student,Some College,Very Low,Very Low,No,7,7,1,1,2,1
3,3,2,5,3,2,7,3,2,2,6,3,2,4,3,3,United Kingdom,United Kingdom,Female,21,Student,College/University Degree,Very Low,Medium,No,7,7,3,5,2,2
2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,1,Hong Kong,Hong Kong,Female,26,Student,College/University Degree,Medium,High,No,7,7,5,4,1,3
5,6,2,3,2,3,3,2,2,2,2,2,2,6,4,4,Korea,Korea,Female,25,Student,Master's Degree,Medium,Medium,No,6,7,3,6,5,7
7,3,2,3,1,1,7,5,1,1,2,3,1,6,6,1,Philippines,Philippines,Male,46,Data Entry Operator,College/University Degree,Medium,Medium,Yes,3,2,1,1,1,1
4,5,3,2,3,2,5,3,3,3,5,3,2,6,3,3,China,China,Female,28,Hr,Master's Degree,Medium,Medium,No,7,7,4,6,7,2
2,2,2,2,3,2,7,2,4,1,4,2,2,1,5,2,United Kingdom,United Kingdom,Male,21,Student,College/University Degree,Very Low,Medium,No,6,7,2,4,2,2
1,1,1,1,6,2,7,2,6,2,7,2,7,7,7,7,South Africa,South Africa,Male,29,Education,Master&amp;rsquo;s Degree,Medium,Medium,Yes,3,1,1,1,1,1
5,4,3,3,3,2,6,6,3,2,6,6,2,4,5,4,United Kingdom,United Kingdom,Female,23,Student,3,2,3,No,4,7,1,3,1,1
1,2,2,1,1,3,1,2,1,1,1,2,1,3,2,4,Swaziland,Swaziland,Female,21,Student,Some College&amp;nbsp;&amp;nbsp;,Very Low,Low,Yes,2,1,3,1,3,2
2,2,2,2,2,2,5,3,2,2,4,3,2,1,3,3,Switzerland,Switzerland,Female,75,Retired,Some College,Medium,Medium,Yes,5,1,1,3,2,2
1,1,1,7,7,3,7,4,1,1,4,7,3,3,3,3,Brazil,Brazil,Male,40,University Staff,Some College Ê,Medium,Medium,No,7,7,1,1,1,1
2,1,2,1,5,3,7,3,3,2,5,3,2,1,5,1,Switzerland,Switzerland,Male,25,Student,MasterÕs Degree,Low,Low,No,7,7,3,5,2,3
2,2,2,2,4,4,6,4,2,2,4,4,3,2,2,3,Slovenia,Slovenia,Male,23,Student,College/University Degree,Low,Low,Yes,4,2,3,4,2,1
2,3,5,6,5,4,3,3,3,4,4,3,3,4,3,3,Philippines,Philippines,Male,30,Sales Consultant,Master's Degree,Medium,Low,Yes,1,1,2,2,1,2
4,5,5,5,5,4,4,4,5,4,4,4,5,6,6,3,Philippines,Philippines,Male,27,Employed Full Time,College/University Degree,Medium,Medium,Yes,2,2,1,1,1,1
2,1,1,1,1,3,5,1,1,3,4,1,1,4,4,1,China,China,Male,40,Secondary Education,College/University Degree,Medium,High,Yes,3,2,1,1,1,1
7,7,5,7,7,7,7,7,7,7,7,7,1,1,3,7,Brazil,Brazil,Male,26,Student,College/University DegreeÊ,Low,Medium,Yes,2,1,1,1,1,1
4,4,2,2,6,3,7,3,3,3,6,3,2,2,5,3,Brazil,Brazil,Female,24,Manager,College/University DegreeÊ,Medium,Medium,Yes,7,7,1,1,1,1
3,4,2,3,5,2,7,5,3,3,6,5,3,3,4,3,Russian Federation,Russian Federation,Female,20,Student,High School/Secondary School,Medium,High,Yes,5,3,2,3,2,1
7,4,1,7,1,1,1,3,1,1,1,3,2,2,2,5,Taiwan,Taiwan,Female,20,Student,3,1,1,1,2,2,2,1,1,1
7,1,1,1,7,7,7,7,6,7,7,7,1,1,1,1,Brazil,Brazil,Male,36,Manager,College/University DegreeÊ,Medium,Medium,Yes,6,6,2,2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,China,Female,30,It,College/University Degree,Low,Low,No,7,7,7,7,7,7
1,7,1,1,2,7,6,3,2,2,5,3,2,1,3,2,Turkey,Turkey,1,29,Academic,4,4,3,0,1,1,2,1,1,3
5,4,1,1,3,2,7,5,1,1,3,,1,1,3,4,South Africa,South Africa,Female,18,Studing,High School/Secondary School&amp,Medium,Medium,Yes,2,2,6,5,1,1
1,1,1,1,1,2,6,3,1,2,5,2,2,1,6,2,United States,United States,Male,31,Transportation Routing Coordinator,College/University Degree&amp;am,Medium,Medium,Yes,2,1,1,1,2,1
7,1,1,1,4,2,7,7,3,1,5,4,2,1,4,5,Greece,Greece,Male,25,Pg Student,College/University Degree,Very Low,Very Low,No,7,7,1,5,1,1
7,4,1,2,3,1,5,7,2,1,3,7,3,6,3,7,South Africa,South Africa,Female,20,Non,High School/Secondary School&amp,Very Low,Low,Yes,3,1,2,5,1,1
2,2,2,2,3,3,7,3,2,2,5,2,2,2,6,2,China,China,Female,24,Student,College/University Degree,Very Low,Medium,Yes,5,6,2,5,1,1
2,2,3,4,1,1,5,5,2,1,3,2,2,1,4,3,China,China,Female,26,Student,Master's Degree,Very Low,Low,No,7,7,1,1,1,1
1,3,1,1,4,2,7,3,2,2,6,2,2,2,2,2,Brazil,Brazil,Male,19,Student,High School/Secondary School,Low,Medium,No,7,7,7,2,1,2
2,2,2,2,2,1,3,2,2,2,3,2,2,5,5,3,Thailand,Thailand,Female,25,Project Administrator,Master,Low,Low,Yes,4,1,3,5,3,2
1,1,2,6,2,2,7,3,2,3,2,3,4,2,2,4,Greece,Greece,Female,22,Postgraduate Student,Some College,Medium,Medium,No,7,7,4,2,1,1
1,1,1,1,5,1,5,3,3,1,4,4,2,2,2,2,China,China,Female,26,Docoter,Some College,Medium,High,No,5,5,2,2,1,1
7,3,2,3,1,1,7,5,1,1,2,3,1,6,6,1,Philippines,Philippines,Male,46,Data Entry Operator,College/University Degree,Medium,Medium,Yes,3,2,1,1,1,1
3,2,1,2,2,3,5,4,2,1,4,3,2,2,1,1,Hong Kong,Hong Kong,Male,24,Market Researcher,College/University Degree,Low,Medium,Yes,2,1,2,3,3,2
5,2,1,6,5,3,7,2,2,2,6,1,2,3,5,2,Mexico,Mexico,Male,33,Project Manager,Master's Degree,Medium,Medium,Yes,4,5,1,2,1,1
4,3,3,2,2,4,4,3,3,3,4,3,2,4,3,3,Philippines,Philippines,Male,30,Engineer,College/University Degree,Medium,Medium,Yes,4,2,3,3,1,2
1,2,2,6,1,1,3,2,1,1,2,1,1,3,1,1,United Kingdom,United Kingdom,Male,42,Project Manager,Some College,Medium,Medium,No,7,7,1,1,1,1
3,6,1,1,6,3,7,7,3,3,7,6,6,5,7,5,United Kingdom,United Kingdom,Male,25,Student,4,3,4,No,7,7,1,1,1,1
1,4,1,7,1,1,4,3,1,1,2,2,2,1,1,1,Canada,Canada,Male,23,Student,College/University Degree,Very Low,Low,Yes,6,1,1,1,1,1
6,2,3,3,3,3,7,6,2,3,7,5,4,2,7,3,Mexico,Mexico,Female,37,Student,MasterÕs Degree,Low,Low,Yes,4,1,1,1,1,1
4,4,2,2,3,3,7,4,2,4,5,6,4,3,5,2,China,China,Male,23,Student,Master's Degree,Medium,Medium,No,7,7,4,2,2,2
2,1,1,2,2,2,6,5,1,2,3,4,1,1,1,1,Brazil,Brazil,Male,20,Trainee,Some College,Low,Low,Yes,1,1,7,7,7,7
7,,7,,6,7,6,5,,7,6,7,7,5,6,7,Philippines,Philippines,Male,29,,Master's Degree,High,Medium,,6,2,1,2,1,2
2,3,2,2,3,6,4,3,2,2,5,3,2,3,2,2,China,China,Female,24,Student,Master's Degree,Low,Medium,No,7,7,5,5,1,4
4,4,3,3,3,4,6,3,3,4,6,3,2,3,6,4,Vietnam,Russia,Male,,Student,College/University Degree,High,Medium,No,7,7,2,4,1,1
4,1,1,1,2,1,2,3,1,1,1,3,1,1,1,1,Greece,Greece,Female,40,,Doctoral Degree,Medium,Medium,Yes,4,2,1,3,1,1
2,3,1,3,2,3,4,3,4,3,4,2,2,3,3,3,Philippines,Philippines,Female,39,Engineer,Master's Degree,Medium,Medium,Yes,3,1,5,2,2,1
7,1,7,7,1,1,1,1,1,1,1,2,1,1,1,2,Brazil,Brazil,Female,24,Student,MasterÕs Degree,Medium,Medium,Yes,1,1,7,1,1,1
2,1,1,1,5,5,2,1,3,2,2,2,1,3,1,3,Spain,Spain,Male,20,Student,MasterÕs Degree,Low,Medium,No,7,6,3,1,2,3
1,1,1,1,1,1,2,7,1,1,1,1,1,7,7,1,Vietnam,Vietnam,Male,22,Student,High School/Secondary School,Very High,Very Low,Yes,2,1,1,1,1,1
2,4,3,4,2,4,3,3,1,3,3,3,1,3,2,3,China,China,Male,24,Student,College/University Degree,Very Low,Medium,No,7,7,3,3,2,2
4,1,1,1,2,1,2,3,1,1,1,3,1,1,1,1,Greece,Greece,Female,40,,Doctoral Degree,Medium,Medium,Yes,4,2,1,3,1,1
2,4,3,3,7,3,7,6,6,3,6,4,5,3,3,5,United Kingdom,United Kingdom,Female,26,Technical Analyst,Master's Degree,High,High,No,7,7,2,2,1,1
4,4,2,2,3,1,1,2,2,2,2,4,1,1,3,1,Vanuatu,Western Sahara,Male,24,Student,College/University Degree,Medium,Medium,No,6,7,2,2,3,1
2,2,1,1,4,3,3,2,1,1,1,1,1,1,4,3,Taiwan,Taiwan,Male,29,Businessman,4,4,4,1,2,1,4,1,1,2
2,3,2,5,5,5,6,6,3,5,5,3,1,2,4,2,Turkey,Turkey,Male,26,Research Asistant,Master's Degree,Medium,High,Yes,2,2,5,4,1,1
6,4,1,1,5,3,2,7,,,,,4,5,6,5,United States,United States,Male,26,It,College/University Degree,High,High,Yes,5,6,5,6,6,6
3,3,1,2,2,3,3,7,2,3,7,2,3,3,1,2,Ghana,Ghana,Female,31,Student,College/University Degree,Low,Low,Yes,1,1,1,1,1,1
3,3,5,5,3,3,7,5,3,3,4,3,3,3,4,5,China,China,Female,22,Student,MasterÕs Degree,Medium,Medium,No,3,3,1,1,3,2
2,3,1,3,3,3,6,5,3,2,6,6,3,2,6,1,United States,United States,Male,47,Application Programmer,Some College&amp;amp;nbsp;&amp;a,Medium,Medium,Yes,6,6,3,1,1,1
1,2,1,1,2,4,7,5,2,2,7,5,2,2,3,3,Peru,Peru,Male,33,Engineer,College/University Degree,Medium,High,No,4,6,1,2,1,1
5,6,4,5,4,6,6,6,3,6,5,4,3,1,3,4,Japan,Japan,Female,25,Student,Master's Degree,Medium,High,No,7,7,1,2,2,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,China,Female,27,Casher,College/University Degree,Medium,Medium,No,7,7,3,2,2,3
1,1,1,3,3,2,3,3,2,2,2,2,2,6,6,2,Vietnam,Vietnam,Female,26,Officer,Master's Degree,Medium,Medium,No,7,7,4,5,7,7
3,4,5,5,3,4,5,3,5,5,4,5,5,4,3,3,United Kingdom,United Kingdom,Female,22,Student,College/University Degree,Medium,High,No,6,6,2,2,1,2
2,2,3,3,2,4,4,3,2,3,4,3,4,2,2,4,Viet Nam,Viet Nam,Male,26,Student,MasterÁøs Degree,Medium,Medium,Yes,3,3,4,2,1,3
4,1,1,1,2,1,2,3,1,1,1,3,1,1,1,1,Greece,Greece,Female,40,,Doctoral Degree,Medium,Medium,Yes,4,2,1,3,1,1
1,1,1,1,1,2,3,2,1,1,2,1,3,3,5,2,United Kingdom,United Kingdom,Male,50,Electrician,College/University Degree,Low,Medium,Yes,4,4,2,1,1,1
1,3,3,2,3,2,7,5,2,3,3,3,2,3,3,3,South Africa,South Africa,Male,20,None,High School/Secondary School&amp,Low,Low,No,3,2,3,4,1,1
7,1,1,,1,1,7,2,1,1,6,2,1,6,6,2,India,India,Female,45,Employed,College/University Degree&amp;am,Low,Very Low,Yes,1,1,1,1,1,1
3,3,2,3,1,1,2,1,2,4,2,2,1,2,2,2,China,China,Female,21,Student,Master's Degree,High,High,No,7,6,2,3,1,1
2,3,2,3,3,3,3,2,2,5,3,2,2,6,6,4,India,India,Male,31,Maintenance Incharge In A Weaving Loom Shed,Some College&amp;amp;nbsp;&amp;a,Medium,Medium,Yes,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ghana,Ghana,Male,32,Student,College/University Degree,Low,Low,Yes,2,1,3,2,2,2
2,2,1,6,7,2,4,6,,,,,3,1,1,7,Greece,Greece,Male,37,Technical Director Of Company,Doctoral Degree,Medium,Medium,No,4,2,1,3,1,1
3,1,2,2,1,3,5,3,1,2,3,3,3,3,5,7,Turkey,Turkey,Male,26,Student,College/University Degree,Medium,Medium,Yes,1,1,1,3,2,1
6,1,2,4,5,3,7,7,1,3,4,7,1,6,4,5,South Africa,South Africa,Male,19,Student,High School/Secondary School&amp,Medium,Medium,No,4,1,1,1,1,1
2,1,1,1,1,1,7,2,1,1,4,2,1,1,4,3,Mexico,Mexico,1,27,Finance,3,3,3,1,4,3,1,1,1,1
5,4,3,6,5,4,5,3,3,4,5,5,4,3,4,5,India,India,Male,27,It Professional,College/University Degree&amp;am,Medium,Medium,Yes,5,2,4,5,4,3
1,1,1,1,2,2,7,2,1,1,3,2,3,2,3,2,Greece,Greece,Female,23,Student,College/University Degree,Medium,High,Yes,4,2,1,1,1,1
5,7,7,7,5,1,2,2,2,3,2,2,2,2,2,2,India,India,Male,26,It Engineer,College/University Degree&amp;am,Medium,Medium,Yes,1,1,1,1,1,4
5,5,4,5,2,4,7,5,3,4,3,3,2,2,3,3,Uk,Uk,Female,22,Student,College/University Degree,Medium,Medium,No,5,5,3,3,1,1
1,2,2,3,3,4,3,3,1,2,2,2,2,6,2,3,Greece,Greece,Male,24,Student,College/University Degree,Very Low,Low,No,7,2,4,2,4,2
2,2,2,2,3,2,7,2,2,1,7,2,2,1,2,1,Canada,Canada,Female,55,Editor,Master's Degree,Medium,Medium,No,7,1,1,1,1,1
3,1,1,7,7,7,1,1,1,2,1,1,3,4,4,4,South Africa,South Africa,Male,19,Student,High School/Secondary School&amp,Low,Medium,Yes,4,1,1,1,1,4
1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,Brazil,Brazil,Female,31,University Staff,College/University DegreeÊ,Medium,Low,Yes,6,1,7,5,1,1
6,1,1,1,1,3,4,2,1,1,3,2,3,1,1,2,Philippines,Philippines,Female,26,Design Engineer,College/University Degree,High,High,Yes,3,1,1,2,1,1
7,3,2,6,1,5,7,7,3,6,7,7,2,2,2,1,Mexico,Mexico,1,24,Software Engineer,3,3,3,1,6,5,7,1,1,1
2,2,2,2,5,3,7,7,4,4,4,4,3,1,2,7,Malaysia,Malaysia,Male,20,Student,College/University Degree,Low,Medium,Yes,2,7,3,3,2,1
2,3,3,4,2,3,4,4,1,2,2,2,2,3,4,5,China,China,Female,21,Student,College/University Degree,Medium,Medium,Yes,6,7,4,4,4,4
2,2,3,1,2,3,4,2,1,1,2,2,2,1,2,3,China,China,Male,25,Student,Master's Degree,Medium,Medium,No,5,6,4,3,4,3
4,3,1,1,5,4,7,7,3,3,6,5,1,1,1,1,Brazil,Brazil,Female,21,Student,Some College Ê,Low,Medium,Yes,2,1,1,2,1,1
2,1,1,1,1,5,6,5,1,2,4,4,2,1,1,1,South Africa,South Africa,Female,21,None,,Low,Medium,Yes,1,1,3,1,1,1
1,2,1,1,2,1,7,5,1,1,7,6,1,1,1,3,United Kingdom,United Kingdom,Male,26,Uk,3,3,2,Yes,2,2,1,1,1,1
2,2,2,3,2,2,2,3,3,2,2,2,2,2,2,3,Taiwan,Taiwan,Male,29,Manager,2,3,3,1,3,4,2,2,1,2
4,1,1,3,6,3,7,6,5,5,,,1,2,1,1,South Africa,South Africa,Female,19,Salesman,High School/Secondary School&amp,Low,Medium,No,2,1,1,5,2,5
3,2,3,5,3,3,6,3,2,2,4,4,2,6,5,5,China,China,Female,24,Student,4,3,2,No,4,2,2,2,1,1
